descricao,sigla,id
BASE DE MANUTENCAO CIVIL - LINHA 8,DOVC,530
BASE DE MANUTENCAO CIVIL - LINHA 9,DOVC,531
BASE DE MANUTENCAO CIVIL - LINHA 7,DOVC,566
"DEPTO DE MANUTENCAO DE ESTRUTURA CIVIL - LINHAS 10, 11, 12 e 13",DOVD,532
BASE DE MANUTENCAO CIVIL - LINHA 10,DOVD,533
BASE DE MANUTENCAO CIVIL - LINHA 11,DOVD,534
BASE DE MANUTENCAO CIVIL - LINHA 12 e 13,DOVD,535
DEPTO DE MANUTENCAO DE VIA PERMANENTE - LINHAS 7/8/9,DOVF,412
EQUIPE DE OPERACAO DE MAQUINAS ESPECIAIS PLASSER-SPENO,DOVF,454
EQUIPE DE INFRA E SUPERESTRUTURA VP - LAPA,DOVF,546
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 7 LUZ-VAU,DOVF,547
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 7 VAU-JUN,DOVF,548
EQUIPE DE INFRA E SUPERESTRUTURA VP - PRESIDENTE ALTINO,DOVF,549
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 8,DOVF,550
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 9,DOVF,551
CORRECAO GEOMETRICA - PRESIDENTE ALTINO,DOVF,552
SOLDAS E EQUIPAMENTOS - PRESIDENTE ALTINO,DOVF,553
EQUIPE DE LOCOMOTIVAS - LINHAS 7/10 - LAPA,DOVF,584
EQUIPE DE LOCOMOTIVAS - LINHAS 8/9 - PRESIDENTE ALTINO,DOVF,585
EQUIPE DE LOCOMOTIVAS - LINHAS 11/12 - CALMON VIANA,DOVF,586
DEPTO DE MANUTENCAO DE VIA PERMANENTE - LINHAS 10/11/12/13,DOVL,413
EQUIPE USINA DE SOLDA DE TRILHOS - PIRITUBA,DOVL,476
EQUIPE DE OPERACAO MECANIZADA INFRAESTRUTURA DE VP,DOVL,477
EQUIPE DE INFRA E SUPERESTRUTURA VP - CALMON VIANA,DOVL,554
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 11 ALV-GUA,DOVL,555
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 11 BAS-ALV,DOVL,556
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 11 GUA-EST,DOVL,557
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 12,DOVL,558
CORRECAO GEOMETRICA - CALMON VIANA,DOVL,559
SOLDAS E EQUIPAMENTOS - CALMON VIANA,DOVL,560
EQUIPE DE INFRA E SUPERESTRUTURA VP - SAO CAETANO,DOVL,561
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 10 LUZ-UTG,DOVL,562
MANUTENCAO DE INFRA E SUPERESTRUTURA - LINHA 10 UTG-RPI,DOVL,563
CORRECAO GEOMETRICA - SAO CAETANO,DOVL,564
SOLDAS E EQUIPAMENTOS - SAO CAETANO,DOVL,565
DEPARTAMENTO DE MONITORAMENTO ESTRATEGICO,DPEM,387
DEPARTAMENTO DE PESQUISA E MOBILIDADE,DPEP,254
DEPARTAMENTO DE PLANEJAMENTO DA MOBILIDADE E PESQUISA,DPEP,462
DEPTO DE PROJETOS E EDIFICACOES,DPPE,184
DEPTO DE PROJETOS DE INFRAESTRUTURA,DPPI,162
DEPARTAMENTO DE GESTAO DO TERRITORIO,DPRG,385
EQUIPE DE RECEITA,DPRG,498
EQUIPE DE AVALIACOES,DPRG,499
EQUIPE DE GEOPROCESSAMENTO,DPRG,500
DEPARTAMENTO DE PROJETOS DE SINAL TELEC E EQUIPAMENTOS,DPST,160
DEPTO DE PLANEJAMENTO DE TRANSPORTE,DPTT,161
DEPARTAMENTO DE AUDITORIA,DRAU,479
DEPARTAMENTO DE CUSTOS DE OBRAS CIVIS E FORMACAO DE PRECOS,DRCC,480
DEPARTAMENTO DE CUSTOS DE SISTEMAS E SERVICOS,DRCS,481
NUCLEO DE AVALIACOES AMBIENTAIS/LAUDO E GESTAO DE RISCO,DRHR,51
DEPTO DE SEGURANCA DO TRABALHO E RELACOES SINDICAIS,DRHR,144
DEPARTAMENTO DE CONFORMIDADE E CONTROLE INTERNO,DRIC,33
DEPARTAMENTO DE GESTAO DE RISCOS,DRIR,34
DEPTO JURIDICO CONTENCIOSO,DRJC,31
DEPTO JURIDICO CRIMINAL E DE PROCEDIMENTOS INQUISITIVOS,DRJI,502
DEPTO JURIDICO LICITACOES E CONTROLE EXTERNO,DRJL,388
DEPTO JURIDICO CONSULTIVO E PREVENTIVO,DRJP,74
DEPTO JURIDICO CONTENCIOSO TRABALHISTA,DRJT,32
DEPARTAMENTO DE IMPRENSA,DRMI,492
DEPARTAMENTO DE MARKETING,DRMK,171
EQUIPE DE COMUNICACAO INTERNA,DRMK,471
EQUIPE DE CRIACAO,DRMK,472
EQUIPE DE EVENTOS,DRMK,473
EQUIPE DE REDES SOCIAIS,DRMK,474
DEPARTAMENTO DE RELACIONAMENTO COM O PASSAGEIRO,DRMP,358
OUVIDORIA,DROV,123
LICENCA SEM VENCIMENTOS,LICSVENC,71
