descricao,sigla,id
"EQUIPE SEGURANCA DO TRABALHO LINHAS 10, 11, 12 E 13",DFHS,529
DEPARTAMENTO DE SUPORTE DE MANUTENCAO,DFIM,158
DEPARTAMENTO DE OPERACAO DE TI,DFIO,157
DEPARTAMENTO DE OPERACAO DE TI-B VISTA,DFIO,205
DEPARTAMENTO DE DESENVOLVIMENTO E APLICACAO DE SISTEMAS,DFIS,156
DEPTO DE CONTABILIDADE E CUSTOS,DFSC,195
DEPARTAMENTO FISCAL,DFSF,228
EQUIPE TRACAO 7/10,DOC1,57
MOVIMENTO DE TRENS 7/10-LUZ,DOC1,58
MOVIMENTO DE TRENS 7/10-FCO MORATO,DOC1,124
DEPTO DE CIRCULACAO-LINHAS 7/10,DOC1,177
MOVIMENTO DE TRENS 7/10-MAUA,DOC1,253
EQUIPE TRACAO 8/9,DOC2,72
DEPTO DE CIRCULACAO-LINHAS 8/9,DOC2,109
MOVIMENTO DE TRENS 8/9-BARRA FUNDA,DOC2,164
MOVIMENTO DE TRENS 8/9-OSASCO,DOC2,165
MOVIMENTO DE TRENS 8/9-ITAPEVI,DOC2,493
DEPTO DE CIRCULACAO-LINHAS 11/12/13,DOC3,337
EQUIPE TRACAO 11/12/13,DOC3,338
MOVIMENTO DE TRENS 11/12/13 - BRAS,DOC3,339
MOVIMENTO DE TRENS 11/12/13 - GUAIANAZES,DOC3,340
MOVIMENTO DE TRENS 11/12/13 - ITAIM,DOC3,341
MOVIMENTO DE TRENS 11/12/13 - SUZANO,DOC3,342
MOVIMENTO DE TRENS 11/12/13 ENG GOULART,DOC3,351
MOVIMENTO DE TRENS 11/12/13 AEROPORTO,DOC3,352
DEPTO DE CONTROLE OPERACIONAL,DOCP,53
CONTROLE DE TRAFEGO-CCO 8/9,DOCP,56
CONTROLE DE TRAFEGO-CCO 7/10,DOCP,79
CONTROLE DE TRAFEGO-CCO 11/12/13,DOCP,336
LAVADOR DE CARROS BARRA FUNDA-7/10,DOCT,142
